Commodity,Operator ID,name,Intrastate Miles,Intrastate HCA Miles,Interstate Miles,Interstate HCA Miles,miles,Miles of Gathering,Interstate Tanks,Intrastate Tanks,tanks
CRUDE OIL,19585,TRANS MOUNTAIN PIPELINE (PUGET SOUND) LLC,,,64,34,64,0,4,0,4
CRUDE OIL,31948,ENBRIDGE STORAGE (PATOKA) L.L.C.,,,,,,,4,0,4
REFINED PP,31371,"BUCKEYE DEVELOPMENT & LOGISTICS, LLC",6.2,6.2,83.3,67.85,90,0,4,3,7
CRUDE OIL,31579,"MAGELLAN PIPELINES HOLDINGS, LP",5.9,5.9,147.6,72.19,154,0,3,0,3
CRUDE OIL,31822,SUNCOR ENERGY (USA) PIPELINE CO.,244.7,74.4,122.6,44.3,367,0,3,9,12
CRUDE OIL,31871,"MARKWEST MICHIGAN PIPELINE COMPANY, L.L.C.",,,151.4,27.48,151,0,3,0,3
CRUDE OIL,39105,VALERO PARTNERS OPERATING CO. LLC,19.7,19.05,197.2,68.03,217,0,3,0,3
CRUDE OIL,39973,WRB REFINING LP - WOOD RIVER REFINERY,,,,,,,3,0,3
HVL FLAMM TOXIC,26085,"PLAINS MARKETING, L.P.",11.6,7.62,63.2,41.77,75,0,3,4,7
REFINED PP,1248,BELLE FOURCHE PIPELINE CO,,,76,0,76,0,3,0,3
REFINED PP,7063,HARBOR PIPELINE CO,,,80.4,78.41,80,0,3,0,3
REFINED PP,32502,ENBRIDGE PIPELINES (SOUTHERN LIGHTS) L.L.C.,,,817.3,473.84,817,0,3,0,3
CRUDE OIL,18667,FREEPORT-MCMORAN OIL & GAS,,,72.2,72.38,72,24.1,2,0,2
CRUDE OIL,26065,CHS MCPHERSON REFINERY INC.,,,,,,,2,0,2
CRUDE OIL,31448,ENBRIDGE PIPELINES (TOLEDO) INC,,,148.7,77.84,149,0,2,0,2
CRUDE OIL,31723,EXXONMOBIL FUELS AND LUBRICANTS COMPANY,11,11.02,0.4,0.43,11,0,2,0,2
CRUDE OIL,39887,"TEXOMA CRUDE OIL PIPELINE CO., LLC",701.6,185.79,237.7,21.61,939,12.9,2,45,47
HVL FLAMM TOXIC,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",,,324.8,163.74,325,0,2,0,2
HVL FLAMM TOXIC,18718,SUNOCO PIPELINE L.P.,120.5,91.38,900,597.1,1020,0,2,0,2
REFINED PP,31189,BP PIPELINE (NORTH AMERICA) INC.,,,619.8,308.1,620,0,2,0,2
REFINED PP,32109,"ONEOK NGL PIPELINE, LLC",,,551.4,225.13,551,0,2,0,2
REFINED PP,32493,"UNEV PIPELINE, LLC",,,426.5,125.3,427,0,2,0,2
CRUDE OIL,1845,"BUCKEYE PARTNERS, LP",9.6,6.02,2.6,2.56,12,0,1,24,25
CRUDE OIL,10346,KUPARUK TRANSPORTATION CO,,,36.9,36.86,37,0,1,0,1
CRUDE OIL,31167,MOEM PIPELINE LLC,,,55.9,11.3,56,0,1,0,1
CRUDE OIL,32099,ENERGY TRANSFER COMPANY,322.8,137.06,69.8,0,393,6.6,1,3,4
CRUDE OIL,32224,BETA OFFSHORE,,,17.9,6.59,18,6.3,1,0,1
CRUDE OIL,39068,"FIELDWOOD ENERGY, LLC",31.8,31.75,98.5,98.51,130,115.9,1,0,1
CRUDE OIL,39131,PERMIAN EXPRESS TERMINAL LLC,,,27.6,0,28,0,1,0,1
HVL FLAMM TOXIC,12105,"MAGELLAN AMMONIA PIPELINE, L.P.",,,"1,089.30",244.74,1089,0,1,0,1
REFINED PP,32062,IMTT-PIPELINE,,,9.9,9.85,10,0,1,0,1
BIOFUEL,31174,"SHELL PIPELINE CO., L.P.",15,15,,,15,0,0,9,9
CO2,515,DAKOTA GASIFICATION COMPANY,,,167,32.9,167,0,0,0,0
CO2,2731,CHEVRON PIPE LINE CO,,,129,0.5,129,0,0,0,0
CO2,3345,DEVON ENERGY PRODUCTION CO. LP,46.5,2.2,,,47,0,0,0,0
CO2,4908,"EXXONMOBIL PRODUCTION COMPANY, A DIVISION OF EXXON MOBIL CORPORATION",160.5,12,,,161,0,0,0,0
CO2,19102,ENERGEN RESOURCES CORP.,1.5,0,,,2,1.5,0,0,0
CO2,30657,BRAVO PIPELINE COMPANY,169.2,3.38,884.2,214.12,1053,0,0,0,0
CO2,30666,"ENMARK ENERGY, INC",10,2.24,,,10,0,0,0,0
CO2,31178,XTO ENERGY INC,29.2,7.3,,,29,0,0,0,0
CO2,31391,"LINDE GAS NORTH AMERICA, LLC",7.2,7,,,7,0,0,0,0
CO2,31475,TRINITY PIPELINE GP LLC,79.8,0.54,100,0,180,0,0,0,0
CO2,31502,OCCIDENTAL PERMIAN LTD,6,0,,,6,0,0,0,0
CO2,31555,KINDER MORGAN CO2 CO. LP,4,0,"1,306.00",93,1310,0,0,0,0
CO2,31627,"DENBURY ONSHORE, LLC",5.4,0.23,323.6,43.12,329,0,0,0,0
CO2,31672,"CHAPARRAL ENERGY, LLC",29.4,0,,,29,0,0,0,0
CO2,31724,SOUTHERN COMPANY PIPELINES,61.1,34.25,,,61,0,0,0,0
CO2,31864,APACHE CORPORATION,41.1,0,,,41,0,0,0,0
CO2,31897,"THE GEORGE R. BROWN PARTNERSHIP, L.P.",7.7,0,,,8,0,0,0,0
CO2,32410,"GENESIS FREE STATE PIPELINE, LLC",90.6,16.48,,,91,0,0,0,0
CO2,32476,"TREETOP MIDSTREAM SERVICES, LLC",0.3,0,,,0,0,0,0,0
CO2,32543,"DENBURY GREEN PIPELINE-TEXAS, LLC",12.9,12.9,131.2,68.42,144,0,0,0,0
CO2,32545,"DENBURY GULF COAST PIPELINES, LLC",,,378.9,56.78,379,0,0,0,0
CO2,32566,GREENCORE PIPELINE COMPANY LLC,3.4,0,231.5,1.82,235,0,0,0,0
CO2,32652,PETROSANTANDER (USA) INC.,14.2,14.2,,,14,0,0,0,0
CO2,32682,"GREENLEAF CO2 SOLUTIONS, LLC",5.1,0,,,5,0,0,0,0
CO2,38931,TABULA RASA ENERGY LLC,29.5,0,,,30,0,0,0,0
CO2,39179,"AMPLIFY ENERGY OPERATING, LLC",20,0,,,20,0,0,0,0
CO2,39291,FDL OPERATING LLC,155,0,,,155,0,0,0,0
CO2,39490,PETRA NOVA CCS I LLC,0.4,0,,,0,0,0,0,0
CO2,39754,"PERDURE PETROLEUM, LLC",,,242.3,6.6,242,0,0,0,0
CO2,39771,ELK OPERATING SERVICES LLC,,,27.7,0,28,0,0,0,0
CO2,39819,BREITBURN ENERGY CO2,,,176.6,0,177,0,0,0,0
CO2,39892,DAYLIGHT PETROLEUM LLC,118,47.5,,,118,0,0,0,0
CRUDE OIL,473,ANADARKO PETROLEUM CORP,165.5,99.93,,,166,80.8,0,0,0
CRUDE OIL,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",,,23.2,0,23,0,0,0,0
CRUDE OIL,999,"PACIFIC COAST ENERGY COMPANY, LP",1.7,1.7,,,2,1.7,0,0,0
CRUDE OIL,1541,"BP PIPELINES (ALASKA), INC",34.4,34.4,,,34,0,0,0,0
CRUDE OIL,2767,"HARVEST ALASKA, LLC",84.7,56.8,54.8,54.8,140,11.2,0,0,0
CRUDE OIL,4280,EL PASO NATURAL GAS CO,122.2,0,,,122,0,0,0,0
CRUDE OIL,4461,"EOG RESOURCES, INC",52.4,9.5,,,52,0,0,2,2
CRUDE OIL,4908,"EXXONMOBIL PRODUCTION COMPANY, A DIVISION OF EXXON MOBIL CORPORATION",4.8,4.75,10.8,10.83,16,15.6,0,0,0
CRUDE OIL,5524,FOUR STAR OIL & GAS CO,9.1,9.1,,,9,9.1,0,0,0
CRUDE OIL,11551,"DELEK LOGISTICS OPERATING, LLC.",306.4,99.8,95.9,33.56,402,64.8,0,4,4
CRUDE OIL,12624,EXXONMOBIL OIL CORPORATION,6,5.97,,,6,0,0,2,2
CRUDE OIL,12628,MOBIL PIPE LINE COMPANY,47.3,21.25,21.1,21.05,68,0,0,0,0
CRUDE OIL,14145,"ENLINK OHIO RIVER VALLEY PIPELINE, LLC",68.5,0.44,,,69,68.5,0,4,4
CRUDE OIL,14391,"OSAGE PIPE LINE COMPANY, LLC",,,135.7,71.6,136,0,0,0,0
CRUDE OIL,15156,SINCLAIR TRANSPORTATION COMPANY,116,26,436,194,552,18,0,13,13
CRUDE OIL,15485,PHILLIPS 66 COMPANY - SWEENY REFINERY,27.4,11.88,,,27,0,0,0,0
CRUDE OIL,15786,PORTLAND PIPE LINE CORPORATION,,,332,150.6,332,0,0,0,0
CRUDE OIL,15979,"ERGON TERMINALING, INC.",,,38,38,38,0,0,0,0
CRUDE OIL,18275,SHELL CHEMICAL CO,6.3,6.3,,,6,0,0,0,0
CRUDE OIL,19410,THUMS LONG BEACH CO,14.6,14.04,,,15,10.8,0,4,4
CRUDE OIL,20202,ULTRAMAR INC,4.3,4.3,,,4,0,0,0,0
CRUDE OIL,22430,WEST SHORE PIPELINE CO,,,3.6,3.58,4,0,0,0,0
CRUDE OIL,25146,"EQUISTAR CHEMICALS, L.P.",33.9,33.69,,,34,33.9,0,0,0
CRUDE OIL,26112,VALERO REFINING-TEXAS L.P.,5.7,5.68,,,6,0,0,2,2
CRUDE OIL,26134,EXXONMOBIL OIL CORP - WEST COAST,33,1.72,,,33,5.2,0,0,0
CRUDE OIL,26303,UNOCAL PIPELINE CO - EASTERN REGION,4.7,4.7,,,5,0,0,0,0
CRUDE OIL,30658,KERN OIL & REFINING CO.,18.6,16.17,,,19,0,0,0,0
CRUDE OIL,30711,HILCORP ENERGY COMPANY,6.9,1,,,7,2,0,0,0
CRUDE OIL,30782,HARVEST MIDSTREAM COMPANY,672.3,175.38,212.5,77.66,885,35,0,28,28
CRUDE OIL,30792,LAMAR OIL & GAS,10,0,,,10,10,0,0,0
CRUDE OIL,30834,TIDELANDS OIL PRODUCTION COMPANY,2,2.02,,,2,2,0,0,0
CRUDE OIL,30909,TRANSMONTAIGNE OPERATING COMPANY L.P.,1.1,1.1,,,1,0,0,4,4
CRUDE OIL,31023,CITGO REFINING & CHEMICAL CO. L.P.,4.1,4.1,,,4,0,0,0,0
CRUDE OIL,31075,E&B NATURAL RESOURCES MANAGEMENT CORP,4.6,4.61,,,5,4.6,0,0,0
CRUDE OIL,31166,MUSTANG PIPE LINE LLC,,,209.6,180.34,210,0,0,0,0
CRUDE OIL,31178,XTO ENERGY INC,15.9,7.12,,,16,15.9,0,0,0
CRUDE OIL,31256,"AMERICAN MIDSTREAM GAS SOLUTIONS, LP",11.2,0,,,11,11.2,0,0,0
CRUDE OIL,31295,PACIFIC OPERATORS OFFSHORE,5.1,0,1.3,0,6,0,0,0,0
CRUDE OIL,31352,WHITING PETROLEUM CORP,11.5,0,,,12,0,0,8,8
CRUDE OIL,31434,PALMER PETROLEUM INC,7,7,,,7,7,0,0,0
CRUDE OIL,31443,"ALON USA, LP",4,0,,,4,0,0,0,0
CRUDE OIL,31455,"CALUMET MONTANA REFINING, LLC",2.6,2.6,,,3,0,0,2,2
CRUDE OIL,31523,ANDERSON OIL LTD,0.3,0.3,,,0,0.3,0,0,0
CRUDE OIL,31536,"GOLDEN VALLEY ELECTRIC ASSOCIATION, INC",5.1,5.05,,,5,0,0,0,0
CRUDE OIL,31546,CENTRAL LOUISIANA ENERGY PIPELINE CO (CLEPCO),40.3,40.3,,,40,36.7,0,0,0
CRUDE OIL,31552,ALPINE TRANSPORTATION CO.,,,34.6,34.63,35,0,0,0,0
CRUDE OIL,31563,"WHITECAP PIPE LINE COMPANY, L.L.C.",,,43.2,0,43,0,0,0,0
CRUDE OIL,31618,ENTERPRISE PRODUCTS OPERATING LLC,14.1,14.13,,,14,0,0,12,12
CRUDE OIL,31663,NAVAJO NATION OIL AND GAS COMPANY,,,87.5,47.23,88,0,0,0,0
CRUDE OIL,31755,"NOBLE MIDSTREAM SERVICES, LLC",263.4,64.58,,,263,33.9,0,11,11
CRUDE OIL,31801,TANDEM ENERGY CORPORATION,4.3,0,,,4,1.9,0,0,0
CRUDE OIL,31824,"CALUMET LUBRICANTS CO., L.P.",34,19,,,34,0,0,2,2
CRUDE OIL,31863,HFOTCO LLC,20.6,20.6,,,21,0,0,10,10
CRUDE OIL,31937,"TPCO, LLC",10.4,0,,,10,0,0,0,0
CRUDE OIL,31947,ENBRIDGE PIPELINES (OZARK) L.L.C.,52.1,18.99,,,52,0,0,0,0
CRUDE OIL,31994,"PANTHER OPERATING COMPANY, LLC",,,515.3,49.25,515,0,0,0,0
CRUDE OIL,32052,"WHITE MARLIN OPERATING COMPANY, LLC",6.5,6.52,,,7,0,0,0,0
CRUDE OIL,32080,"CCPS TRANSPORTATION, LLC",,,"1,178.70",620.32,1179,0,0,0,0
CRUDE OIL,32083,"DCOR, LLC",26.6,26.59,27.4,27.42,54,54,0,0,0
CRUDE OIL,32091,"WILLIAMS OIL GATHERING, LLC",,,377.9,12.05,378,0,0,0,0
CRUDE OIL,32096,WYNNEWOOD REFINERY COMPANY,2.1,2.06,,,2,0,0,0,0
CRUDE OIL,32103,CRIMSON PIPELINE L.P.,"1,030.00",628,,,1030,674,0,14,14
CRUDE OIL,32179,EXXONMOBIL BILLINGS REFINERY,,,,,,,0,1,1
CRUDE OIL,32213,DIAMOND SHAMROCK REFINING CO. LP,,,,,,,0,1,1
CRUDE OIL,32223,VALERO REFINING COMPANY - CALIFORNIA,5.4,5.39,,,5,0,0,9,9
