Commodity,Operator ID,name,Intrastate Miles,Intrastate HCA Miles,Interstate Miles,Interstate HCA Miles,miles,Miles of Gathering,Interstate Tanks,Intrastate Tanks,tanks
HVL FLAMM TOXIC,39436,INDORAMA VENTURES OLEFINS LLC,0.1,0,32.7,23.22,33,0,0,0,0
HVL FLAMM TOXIC,39443,"NAVITAS MDSTR MIDLAND BASIN, LLC",1.5,0,,,2,0,0,0,0
HVL FLAMM TOXIC,39459,"AMERICAN MIDSTREAM PERMIAN, LLC",9.7,0,,,10,0,0,0,0
HVL FLAMM TOXIC,39467,"KURARAY AMERICA, INC.",9.1,9.14,,,9,9.1,0,0,0
HVL FLAMM TOXIC,39474,MODA INGLESIDE LLC,18.1,16.24,,,18,0,0,0,0
HVL FLAMM TOXIC,39477,"KEYERA ENERGY, INC.",60.5,15.48,,,61,0,0,8,8
HVL FLAMM TOXIC,39487,COPANO PROCESSING LLC,3.2,2.31,,,3,0,0,0,0
HVL FLAMM TOXIC,39488,"KINGFISHER MIDSTREAM, LLC",4.1,0,,,4,0,0,0,0
HVL FLAMM TOXIC,39492,"CELANESE CHEMICALS, INC",21.5,13.75,,,22,0,0,0,0
HVL FLAMM TOXIC,39511,CAPROCK PERMIAN PROCESSING LLC,10.5,0,,,11,0,0,0,0
HVL FLAMM TOXIC,39512,DELAWARE G&P LLC,2.5,0,,,3,0,0,0,0
HVL FLAMM TOXIC,39518,KINDER MORGAN UTOPIA LLC,,,265.7,42.84,266,0,0,0,0
HVL FLAMM TOXIC,39566,LUCID ENERGY DELAWARE LLC,27.6,0,,,28,27.6,0,0,0
HVL FLAMM TOXIC,39596,PERMIAN EXPRESS PARTNERS LLC,63,6,,,63,0,0,0,0
HVL FLAMM TOXIC,39600,VAQUERO PERMIAN PROCESSING LLC,3.3,0,,,3,3.3,0,0,0
HVL FLAMM TOXIC,39617,SHELL OIL PRODUCTS US - CONVENT REFINERY,20.7,4.9,,,21,0,0,0,0
HVL FLAMM TOXIC,39637,UTAH GAS OP LTD DBA UTAH GAS CORP,,,16.7,0,17,0,0,0,0
HVL FLAMM TOXIC,39638,ALTUS MIDSTREAM NGL PIPELINE LP,25.6,16.71,,,26,0,0,0,0
HVL FLAMM TOXIC,39648,VALERO HOUSTON REFINERY,3.8,3.78,,,4,0,0,0,0
HVL FLAMM TOXIC,39663,"PETROGAS WEST, LLC",0.4,0,,,0,0,0,2,2
HVL FLAMM TOXIC,39687,"BRAZOS DELAWARE CRUDE, LLC",12.4,0,,,12,0,0,0,0
HVL FLAMM TOXIC,39731,VANTAGE PIPELINE US LP,,,127.1,3.68,127,0,0,0,0
HVL FLAMM TOXIC,39752,"STAKEHOLDER GAS UTILITY, LLC",31,0.4,,,31,0,0,0,0
HVL FLAMM TOXIC,39785,"EPIC CONSOLIDATED OPERATIONS, LLC",409.9,31.24,27.5,6.8,437,0,0,0,0
HVL FLAMM TOXIC,39821,AGRIUM U.S. INC.,,,,,,,0,4,4
HVL FLAMM TOXIC,39823,TARGA DOWNSTREAM LLC,32.5,0,306.9,71.9,339,0,0,0,0
HVL FLAMM TOXIC,39832,CCI SAN JUAN LLC,26.1,6,,,26,0,0,0,0
HVL FLAMM TOXIC,39848,LAMBDA ENERGY RESOURCES LLC,225,89.5,,,225,0,0,0,0
HVL FLAMM TOXIC,39849,"COASTAL CAVERNS, INC.",1,0,,,1,1,0,0,0
HVL FLAMM TOXIC,39892,DAYLIGHT PETROLEUM LLC,1.2,0,,,1,0,0,0,0
HVL FLAMM TOXIC,39910,COGENT MIDSTREAM PRODUCTS LLC,21.1,0,,,21,21.1,0,0,0
HVL FLAMM TOXIC,39919,"MARKWEST BLUESTONE ETHANE PIPELINE, L.L.C.",,,30,27.16,30,0,0,0,0
HVL FLAMM TOXIC,39920,"MARKWEST LIBERTY ETHANE PIPELINE, L.L.C.",,,173.3,21.23,173,0,0,0,0
HVL FLAMM TOXIC,39922,"MARKWEST LIBERTY NGL PIPELINE, L.L.C.",,,145.1,21.23,145,0,0,0,0
HVL FLAMM TOXIC,39924,"MARKWEST JAVELINA COMPANY, L.L.C.",34.9,25.28,,,35,0,0,0,0
HVL FLAMM TOXIC,39941,"MARKWEST UTICA EMG, L.L.C.",123.2,44.51,,,123,0,0,0,0
HVL FLAMM TOXIC,39950,"3 BEAR DELAWARE OPERATING-NM, LLC",6.7,2.52,,,7,6.7,0,0,0
HVL FLAMM TOXIC,39960,"MARKWEST PIPELINE COMPANY, L.L.C.",,,49.3,0.8,49,0,0,0,0
HVL FLAMM TOXIC,39965,"CONTINUUM ENERGY SERVICES, LLC",3.3,0,,,3,3.3,0,0,0
HVL FLAMM TOXIC,39975,REO OPERATING LLC,,,,,,,0,0,0
HVL FLAMM TOXIC,39976,"MARKWEST LIBERTY BLUESTONE, L.L.C.",15,6.27,,,15,0,0,0,0
HVL FLAMM TOXIC,40020,"REXTAC, LLC",11.1,0,,,11,0,0,0,0
REFINED PP,300,"PLAINS PIPELINE, L.P.",3.7,0,,,4,0,0,0,0
REFINED PP,879,CHEMOIL TERMINALS CORP.,11.9,11.9,,,12,0,0,16,16
REFINED PP,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",15.3,15.32,,,15,0,0,0,0
REFINED PP,1047,HESS CORPORATION,16,0,,,16,0,0,0,0
REFINED PP,2190,CENTRAL FLORIDA PIPELINE CORP,205.7,187.16,,,206,0,0,3,3
REFINED PP,2714,"DOMINION ENERGY TRANSMISSION, INC.",29.1,29.12,,,29,0,0,0,0
REFINED PP,2730,CHEVRON PRODUCTS COMPANY,,,,,,,0,11,11
REFINED PP,2731,CHEVRON PIPE LINE CO,322.6,283.1,,,323,0,0,0,0
REFINED PP,6911,GULF STATE PIPELINE CO INC,55,7.4,,,55,0,0,0,0
REFINED PP,8014,IDAHO PIPELINE CORP,2.3,2.32,,,2,0,0,2,2
REFINED PP,8166,"ADELPHIA GATEWAY, LLC",49.4,47,,,49,0,0,0,0
REFINED PP,8175,INTERSTATE STORAGE & PIPELINE C0,11.8,7.8,,,12,0,0,0,0
REFINED PP,10250,KIANTONE PIPELINE CORP,6.9,2.94,,,7,0,0,4,4
REFINED PP,11272,LAVACA PIPELINE CO,13.1,5.08,,,13,0,0,0,0
REFINED PP,11551,"DELEK LOGISTICS OPERATING, LLC.",165.9,19.54,,,166,0,0,0,0
REFINED PP,11733,LOOP LLC,,,21.4,2.88,21,0,0,0,0
REFINED PP,12624,EXXONMOBIL OIL CORPORATION,32.5,25.41,,,33,0,0,9,9
REFINED PP,12628,MOBIL PIPE LINE COMPANY,3.3,3.27,,,3,0,0,0,0
REFINED PP,12913,SUPERIOR REFINING COMPANY LLC,5.6,5.57,,,6,0,0,1,1
REFINED PP,14194,"OILTANKING, HOUSTON LP",4.7,4.68,,,5,0,0,0,0
REFINED PP,15485,PHILLIPS 66 COMPANY - SWEENY REFINERY,75.7,19.16,,,76,0,0,0,0
REFINED PP,15645,PLACID PIPELINE COMPANY LLC,9,9,,,9,0,0,0,0
REFINED PP,15851,"DELEK MARKETING AND SUPPLY, LP",105.6,11.11,,,106,0,0,8,8
REFINED PP,15915,"PIPELINES OF PUERTO RICO INCD, THE",9.5,9.5,,,10,0,0,2,2
REFINED PP,18275,SHELL CHEMICAL CO,6.3,6.3,,,6,0,0,0,0
REFINED PP,19319,"TPC GROUP, LLC",16.5,16.54,,,17,0,0,0,0
REFINED PP,20202,ULTRAMAR INC,24.2,24.15,,,24,0,0,0,0
REFINED PP,21359,SASOL CHEMICALS USA LLC,12.7,12.7,,,13,0,0,0,0
REFINED PP,22465,TARGA PIPELINE MID-CONTINENT WESTTEX LLC,6.7,0,,,7,0,0,0,0
REFINED PP,22855,"FLINT HILLS RESOURCES, LC",858.1,496.64,501.9,281.71,1360,0,0,19,19
REFINED PP,25146,"EQUISTAR CHEMICALS, L.P.",114,101.81,,,114,0,0,1,1
REFINED PP,26039,FLORIDA POWER & LIGHT CO,52.3,44.82,,,52,0,0,4,4
REFINED PP,26045,"PAR HAWAII REFINING, LLC",24,24,,,24,0,0,2,2
REFINED PP,26048,HUNT REFINING CO,47.4,40.2,,,47,0,0,4,4
REFINED PP,26049,"COUNTRYMARK REFINING AND LOGISTICS, LLC",247.1,210.1,,,247,0,0,12,12
REFINED PP,26054,KEY WEST PIPELINE CO,7,7,,,7,0,0,0,0
REFINED PP,26061,"DELEK CRUDE LOGISTICS, LLC.",118,17.08,,,118,0,0,6,6
REFINED PP,26065,CHS MCPHERSON REFINERY INC.,20.7,13.14,,,21,0,0,0,0
REFINED PP,26094,NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,22.8,22.6,13,13,36,0,0,66,66
REFINED PP,26111,UNITED REFINING CO,1.9,0.93,,,2,0,0,0,0
REFINED PP,26112,VALERO REFINING-TEXAS L.P.,31.8,31.79,,,32,0,0,6,6
REFINED PP,26120,COLLINS PIPELINE CO,,,124.5,77.3,125,0,0,0,0
REFINED PP,26134,EXXONMOBIL OIL CORP - WEST COAST,9.3,0,,,9,0,0,0,0
REFINED PP,26136,PARAMOUNT PETROLEUM CORP,8.7,8.72,,,9,0,0,0,0
REFINED PP,30003,HOUSTON REFINING LP.,3,3,,,3,0,0,4,4
REFINED PP,30683,WESTLAKE PETROCHEMICALS LLC,6.8,0.36,,,7,0,0,1,1
REFINED PP,30709,HUNTSMAN PETROCHEMICAL LLC,15.4,2.6,,,15,0,0,0,0
REFINED PP,30755,CITGO PRODUCTS PIPELINE CO,237,107.73,,,237,0,0,1,1
REFINED PP,30756,WYOMING REFINING CO,40.5,1,,,41,0,0,0,0
REFINED PP,30777,MOTIVA ENTERPRISE LLC,62.2,62.17,,,62,0,0,0,0
REFINED PP,30829,ENTERPRISE CRUDE PIPELINE LLC,9.3,8.92,21.4,0,31,0,0,0,0
REFINED PP,30901,AIRCRAFT SERVICES INTERNATIONAL GROUP (ASIG),7.6,7.6,,,8,0,0,1,1
REFINED PP,30959,THE DOW CHEMICAL COMPANY,58,54.29,,,58,0,0,0,0
REFINED PP,31023,CITGO REFINING & CHEMICAL CO. L.P.,48.6,48.6,,,49,0,0,0,0
REFINED PP,31049,MCCHORD PIPELINE CO.,14.3,14.25,,,14,0,0,0,0
REFINED PP,31051,"TIDEWATER, INC",17.4,17.44,,,17,0,0,19,19
,31056,"SIGNATURE FLIGHT SUPPORT, M&O _ HONOLULU",6,6,,,6,0,0,16,16
REFINED PP,31057,"HECO - HAWAIIAN ELECTRIC COMPANY, INC.",18,18,,,18,0,0,0,0
REFINED PP,31083,HAWAII ELECTRIC LIGHT,2,2,,,2,0,0,1,1
REFINED PP,31130,DCP MIDSTREAM,28.5,4.33,,,29,0,0,0,0
REFINED PP,31135,PETRO-DIAMOND TERMINAL COMPANY,1.8,0.36,,,2,0,0,0,0
REFINED PP,31136,WICKLAND PIPELINES LLC,12.6,12.6,,,13,0,0,0,0
REFINED PP,31202,"ENABLE MIDSTREAM PARTNERS, LP",45,1.26,,,45,0,0,1,1
REFINED PP,31228,"CALIFORNIA RESOURCES ELK HILLS, LLC",11,10.25,,,11,0,0,0,0
REFINED PP,31312,WEST PHOENIX POWER PLANT,2,0,,,2,0,0,0,0
REFINED PP,31420,VOPAK TERMINAL LOS ANGELES INC.,10.6,10.61,,,11,0,0,21,21
REFINED PP,31443,"ALON USA, LP",196,12.6,,,196,0,0,0,0
REFINED PP,31451,KINDER MORGAN TEXAS PIPELINE CO,3.3,0,,,3,0,0,0,0
REFINED PP,31460,DOD DEFENSE ENERGY SUPPORT CENTER,79.3,79.31,,,79,0,0,0,0
REFINED PP,31472,SCISSORTAIL ENERGY LLC,1.4,0.09,,,1,0,0,0,0
REFINED PP,31476,ROSE ROCK MIDSTREAM L.P.,35.8,27.16,,,36,0,0,0,0
REFINED PP,31502,OCCIDENTAL PERMIAN LTD,2,0,,,2,0,0,0,0
REFINED PP,31526,DELAWARE STORAGE AND PIPELINE COMPANY,10.6,6.72,,,11,0,0,0,0
REFINED PP,31574,"WESTERN REFINING LOGISTICS, LP",3.9,3.9,,,4,0,0,0,0
REFINED PP,31579,"MAGELLAN PIPELINES HOLDINGS, LP",30.3,30.12,,,30,0,0,0,0
REFINED PP,31580,"MAGELLAN TERMINALS HOLDINGS, LP",19.8,19.79,,,20,0,0,121,121
REFINED PP,31721,PIPELINE TECHNOLOGY,22,22,,,22,0,0,0,0
REFINED PP,31723,EXXONMOBIL FUELS AND LUBRICANTS COMPANY,23.4,23.41,,,23,0,0,0,0
REFINED PP,31779,SWISSPORT FUELING INC,12.3,12.28,,,12,0,0,12,12
REFINED PP,31816,"MID-CONTINENT FRACTIONATION AND STORAGE, L.L.C.",3.5,0,,,4,0,0,0,0
REFINED PP,31822,SUNCOR ENERGY (USA) PIPELINE CO.,4.2,4.17,,,4,0,0,0,0
REFINED PP,31847,"CALUMET LUBRICANTS CO., L. P.",6.4,3,,,6,0,0,4,4
REFINED PP,31933,CALCASIEU REFINING COMPANY,5.4,5.4,,,5,0,0,0,0
REFINED PP,31970,"CONOCOPHILLIPS ALASKA, INC.",34.7,34.74,,,35,0,0,0,0
REFINED PP,32005,"ENLINK PROCESSING SERVICES, LLC",23,3.2,,,23,0,0,0,0
REFINED PP,32051,"MARTIN OPERATING PARTNERSHIP, L.P.",5.8,5.82,,,6,0,0,1,1
REFINED PP,32082,"ZENITH ENERGY TERMINALS HOLDINGS, LLC",1.6,1.57,,,2,0,0,1,1
REFINED PP,32095,"LBC HOUSTON, L.P.",5.4,5.43,,,5,0,0,0,0
REFINED PP,32117,"ENLINK ASCENSION PIPELINE COMPANY, LLC",32.5,28.07,,,33,0,0,0,0
REFINED PP,32120,NORTHVILLE INDUSTRIES CORP.,36.7,36.69,,,37,0,0,9,9
REFINED PP,32135,PHILLIPS 66 COMPANY - LOS ANGELES REFINERY,13,12,,,13,0,0,4,4
REFINED PP,32174,MCCAIN PIPELINE COMPANY,5.1,0,,,5,0,0,3,3
REFINED PP,32223,VALERO REFINING COMPANY - CALIFORNIA,3.4,3.43,,,3,0,0,0,0
REFINED PP,32272,SAN ANTONIO PIPELINE CORPORATION,14,14,,,14,0,0,2,2
REFINED PP,32284,PENNZOIL-QUAKER STATE D/B/A SOPUS PRODUCTS,12.3,12.3,,,12,0,0,0,0
REFINED PP,32296,TARGA RESOURCES OPERATING LLC,1.9,0,,,2,0,0,0,0
REFINED PP,32331,"PASADENA REFINING SYSTEM, INC.",8,8.01,,,8,0,0,0,0
REFINED PP,32346,"TOTAL PETROCHEMICALS PIPELINE USA , INC.",14.7,14.72,,,15,0,0,0,0
REFINED PP,32364,"VALERO REFINING-NEW ORLEANS, L.L.C.",1.6,1.62,,,2,0,0,0,0
REFINED PP,32453,BPX (EAGLE FORD) GATHERING LLC,192.6,3.65,,,193,0,0,6,6
REFINED PP,32473,OP RENO LLC,,,,,,,0,2,2
REFINED PP,32481,"BKEP CRUDE, LLC",1.7,0,,,2,0,0,0,0
REFINED PP,32495,"DELAWARE PIPELINE COMPANY, LLC",,,23.4,23.4,23,0,0,0,0
REFINED PP,32520,CITY OF BANGOR,0.9,0.93,,,1,0,0,0,0
REFINED PP,32522,NRG OSWEGO HARBOR POWER,4.2,4.2,,,4,0,0,0,0
REFINED PP,32559,"ALON USA KROTZ SPRINGS REFINERY, INC",2.8,0.7,,,3,0,0,0,0
REFINED PP,32572,"TOLEDO REFINING COMPANY, LLC",4.2,4.18,,,4,0,0,2,2
REFINED PP,32614,"WILLIAMS OLEFINS FEEDSTOCK PIPELINES, LLC",32.2,32.17,,,32,0,0,0,0
REFINED PP,38895,KINDER MORGAN SOUTHEAST TERMINALS,3.8,2.92,,,4,0,0,13,13
REFINED PP,38964,"PHILADELPHIA ENERGY SOLUTIONS REFINING AND MARKETING, LLC",15.2,15.24,,,15,0,0,0,0
REFINED PP,39065,HESS ND,3.8,0.08,,,4,0,0,0,0
REFINED PP,39073,OCI BEAUMONT LLC,4.6,0,,,5,0,0,0,0
REFINED PP,39108,BLUEFISH PIPELINE LLC,15.9,10.78,,,16,0,0,0,0
REFINED PP,39149,IMTT-BAYONNE,3.4,3.35,,,3,0,0,115,115
REFINED PP,39191,CONSOLIDATED EDISON CO OF NY,0.9,0.92,,,1,0,0,0,0
REFINED PP,39294,"CAELUS NATURAL RESOURCES ALASKA, LLC",8,8,,,8,0,0,0,0
REFINED PP,39369,ELLSJET TERMINAL,6.5,6.51,,,7,0,0,2,2
REFINED PP,39398,INEOS USA LLC,72,65.43,,,72,0,0,0,0
REFINED PP,39401,GREAT SALT PLAINS PIPELINE LLC,0.2,0,,,0,0,0,0,0
REFINED PP,39409,"CHALMETTE REFINING, L.L.C.",1.7,1.69,,,2,0,0,0,0
REFINED PP,39433,"MAGELLAN OPERATING COMPANY, LLC",0,0,,,0,0,0,11,11
REFINED PP,39442,JAMES LAKE MIDSTREAM,4.8,0,,,5,0,0,0,0
REFINED PP,39506,PEAK MIDSTREAM GOLDSBORO LLC,5.6,4.89,,,6,0,0,0,0
REFINED PP,39509,"ITC PIPELINE COMPANY, LLC",3.9,3.87,,,4,0,0,12,12
REFINED PP,39532,TORRANCE BASIN PIPELINE COMPANY LLC,8.3,8.28,,,8,0,0,0,0
REFINED PP,39533,TORRANCE LOGISTICS COMPANY LLC,,,,,,,0,18,18
REFINED PP,39535,TORRANCE PIPELINE COMPANY LLC,85.9,85.88,,,86,0,0,12,12
REFINED PP,39556,ISLAND ENERGY SERVICES,45.3,45.26,,,45,0,0,0,0
REFINED PP,39639,TANKS R US,0,0,,,0,0,0,1,1
REFINED PP,39647,VALERO TEXAS CITY REFINERY,5.2,5.22,,,5,0,0,0,0
REFINED PP,39648,VALERO HOUSTON REFINERY,9.6,9.57,,,10,0,0,0,0
REFINED PP,39739,OCELOT ENERGY MANAGEMENT LLC,16.7,15,,,17,0,0,0,0
REFINED PP,39745,"SEAPORT MIDSTREAM PARTNERS, LLC.",,,,,,,0,13,13
REFINED PP,39820,"MAVERICK TERMINALS CORPUS, LLC",1.3,1.31,,,1,0,0,0,0
REFINED PP,39827,"SWISSPORT SA FUEL SERVICES, LLC",1.5,1.5,,,2,0,0,3,3
REFINED PP,39832,CCI SAN JUAN LLC,26.1,0,,,26,0,0,0,0
REFINED PP,39837,PARAMOUNT PIPELINE LLC,12.7,12.72,,,13,0,0,0,0
REFINED PP,39888,FORE RIVER ENERGY CENTER,0.3,0.3,,,0,0,0,0,0
REFINED PP,39906,"SEAPORT SOUND TERMINAL, LLC",2.7,2.7,,,3,0,0,1,1
REFINED PP,40051,VALERO REFINING - MERAUX LLC,0.9,0.85,,,1,0,0,0,0
REFINED PP,99001,DEFENSE FUEL SUPPLY POINT,4.7,4.72,,,5,0,0,0,0
REFINED PP,99002,TAMPA AIRPORT PIPELINE CORPORATION,10.5,10.5,,,11,0,0,3,3
REFINED PP,99031,CITGO PETROLEUM CORPORATION (TERMINALS),19.4,19.39,,,19,0,0,104,104
REFINED PP,99043,PETROLEUM FUEL AND TERMINAL COMPANY,3.1,3.1,,,3,0,0,19,19
Grand Total,,,"66,004.30","25,828.95","152,997.30","65,946.22",219002,"3,837.90","5,234","3,025",8259
